"kingdom","group","location","website"
"Kingdom of AEthelmearc","Barony of Blackstone Mountain","South-Central, WV","http://www.blackstonemountain.org"
"Kingdom of AEthelmearc","Barony of Delftwood","Syracuse, NY","http://delftwood.aethelmearc.org/"
"Kingdom of AEthelmearc","Barony of Endless Hills","Northeastern, PA","http://endlesshills.aethelmearc.org/"
"Kingdom of AEthelmearc","Barony of Rhydderich Hael","Niagara Frontier, NY","http://hael.aethelmearc.org/"
"Kingdom of AEthelmearc","Barony of St. Swithin’s Bog","Cambria, Somerset, Bedford and Westmoreland Co, PA","http://stswithinsbog.aethelmearc.org/"
"Kingdom of AEthelmearc","Barony of Thescorre","Rochester, NY","http://thescorre.aethelmearc.org/"
"Kingdom of AEthelmearc","Canton of Beau Fleuve","Niagara Falls, NY","http://beaufleuve.aethelmearc.org/"
"Kingdom of AEthelmearc","Canton of Dunloch","Oswego County, NY","https://dunloch.aethelmearc.org"
"Kingdom of AEthelmearc","College of Arx Collis","West Liberty University, WV","https://arxcollis.aethelmearc.org"
"Kingdom of AEthelmearc","College of Silva Vulcani","California University, PA","https://silvavulcani.wixsite.com/silvavulcani"
"Kingdom of AEthelmearc","Shire of Abhainn Ciach Ghlais","Clinton, Columbia, Lycoming, Montour, Northumberland, Snyder, Sullivan, Tioga, and Union Co, PA","http://www.shireofacg.org/"
"Kingdom of AEthelmearc","Shire of Angel's Keep","Auburn, NY","http://angelskeep.aethelmearc.org/"
"Kingdom of AEthelmearc","Shire of Ballachlagan","Northern Panhandle, WV","https://ballachlagan.aethelmearc.org/"
"Kingdom of AEthelmearc","Shire of Blackwater","Cattaraugus and Allegany, NY",""
"Kingdom of AEthelmearc","Shire of Coppertree","Rome and Utica, NY","http://coppertree.aethelmearc.org/"
"Kingdom of AEthelmearc","Shire of Courtlandtslot","Cortland Co, NY",""
"Kingdom of AEthelmearc","Shire of Hartstone","Livingston, Steuben Co, NY","http://hartstone.aethelmearc.org/"
"Kingdom of AEthelmearc","Shire of Heronter","Jamestown/Chautauqua Region, NY","https://heronter.aethelmearc.org/"
"Kingdom of AEthelmearc","Shire of Hunter's Home","Erie, Crawford, Mercer, Lawrence, Venango, Clarion, & Forest Counties, PA","http://huntershome.aethelmearc.org"
"Kingdom of AEthelmearc","Shire of King's Crossing","Washington and Greene Counties, PA","http://kingscrossing.aethelmearc.org/"
"Kingdom of AEthelmearc","Shire of Misty Highlands","North Central, WV","http://www.mistyhighlands.org"
"Kingdom of AEthelmearc","Shire of Nithgaard","State College, PA","http://nithgaard.aethelmearc.org/"
"Kingdom of AEthelmearc","Shire of Port Oasis","Huntington, WV","http://www.portoasis.org"
"Kingdom of AEthelmearc","Shire of Steltonwald","Beaver Co, PA","https://steltonwald.aethelmearc.org/"
"Kingdom of AEthelmearc","Shire of Sterlynge Vayle","Binghamton, NY","http://sterlyngevayle.aethelmearc.org/"
"Kingdom of AEthelmearc","Shire of Sunderoak","Butler, PA","http://sunderoak.aethelmearc.org"
"Kingdom of AEthelmearc","Shire of Sylvan Glen","Eastern Panhandle, WV","http://sylvanglen.aethelmearc.org/"
"Kingdom of AEthelmearc","Shire of Wyntersett","Watertown and Fort Drum, NY","http://wyntersetthome.org/"
"Kingdom of An Tir","Barony of Adiantum","Eugene, OR","http://adiantum.antir.sca.org/"
"Kingdom of An Tir","Barony of Aquaterra","Bremerton, WA","http://aquaterra.antir.sca.org/"
"Kingdom of An Tir","Barony of Blatha an Oir","Whitefish, MT","http://blathaanoir.antir.sca.org/"
"Kingdom of An Tir","Barony of Dragon's Mist","Hillsboro, OR","http://dragonsmist.antir.sca.org/"
"Kingdom of An Tir","Barony of Dragons Laire","Silverdale, WA","https://dragonslaire.antir.org/wordpress/"
"Kingdom of An Tir","Barony of Glymm Mere","Olympia, WA","https://glymmmere.antir.org/"
"Kingdom of An Tir","Barony of Glyn Dwfn","Medford, OR","http://glyndwfn.antir.sca.org"
"Kingdom of An Tir","Barony of Lions Gate","Vancouver, BC, Canada","http://lionsgate.tirrigh.org/"
"Kingdom of An Tir","Barony of Madrone","Seattle, WA","http://baronyofmadrone.net/"
"Kingdom of An Tir","Barony of Seagirt","Victoria, BC, Canada","http://seagirt.tirrigh.org/"
"Kingdom of An Tir","Barony of Stromgard","Surrey, BC, Canada","https://www.stromgard-sca.org/"
"Kingdom of An Tir","Barony of Terra Pomaria","Salem, OR","http://terrapomaria.antir.sca.org/"
"Kingdom of An Tir","Barony of Three Mountains","Portland, OR","http://baronyofthreemountains.org/"
"Kingdom of An Tir","Barony of Vulcanfeldt","Spokane, WA","https://vulcanfeldt.antir.org/"
"Kingdom of An Tir","Barony of Wastekeep","Kennewick, WA","https://wastekeep.antir.org"
"Kingdom of An Tir","Barony of Wealdsmere","Lynnwood, WA","http://wealdsmere.antir.org/"
"Kingdom of An Tir","Barony of Wyewood","Federal Way, WA","http://www.wyewood.org/wp/"
"Kingdom of An Tir","Canton of Akornebir","Mount Vernon, WA","https://akornebir.antir.org/wordpress/"
"Kingdom of An Tir","Canton of Caladphort","Oak Harbor, WA","https://glymmmere.antir.org/caladphort-officers/"
"Kingdom of An Tir","Canton of Crows Gate","Tacoma, WA","https://glymmmere.antir.org/crows-gate-officers/"
"Kingdom of An Tir","Canton of Kaldor Ness","Edmonds, WA","https://www.baronyofthreemountains.org/"
"Kingdom of An Tir","Canton of Misty Ridge","Issaquah, WA","https://antir.org"
"Kingdom of An Tir","Canton of Porte de l'Eau","Tukwila, WA","https://porte-de-leau.antir.org/"
"Kingdom of An Tir","College of Cranehaven","Bellingham, WA","https://antir.sca.wiki/index.php?title=Cranehaven"
"Kingdom of An Tir","College of Lyonsmarche","Seattle, WA","http://lyonsmarche.antir.org/"
"Kingdom of An Tir","Principality of Tir Righ","Burnaby, BC, Canada","http://www.tirrigh.org/"
"Kingdom of An Tir","Principality of the Summits","Springfield, OR","http://summits.antir.sca.org/"
"Kingdom of An Tir","Shire of Appledore","Prince Rupert, BC, Canada","https://www.facebook.com/AppledoreSCA"
"Kingdom of An Tir","Shire of Briaroak","Roseburg, OR","http://briaroak.antir.sca.org/"
"Kingdom of An Tir","Shire of Coeur du Val","Corvallis, OR","http://cdv.antir.org/"
"Kingdom of An Tir","Shire of Coill Mhór","Williams Lake, BC, Canada","https://coillmhor.tirrigh.org/"
"Kingdom of An Tir","Shire of Cold Keep","Whitehorse, YT, Canada","https://coldkeep.tirrigh.org/"
"Kingdom of An Tir","Shire of Corvaria","Bend, OR","http://corvaria.antir.sca.org/wp/"
"Kingdom of An Tir","Shire of Danescombe","Kelowna, BC, Canada","https://danescombe.tirrigh.org/"
"Kingdom of An Tir","Shire of Hartwood","Courtenay, BC, Canada","http://hartwood.tirrigh.org/"
"Kingdom of An Tir","Shire of Hauksgarðr","Bothell, WA","https://hauksgardr.antir.org/"
"Kingdom of An Tir","Shire of Krakafjord","Vernon, BC, Canada","https://www.facebook.com/groups/krakafjord"
"Kingdom of An Tir","Shire of Lionsdale","Squamish, BC, Canada","http://lionsdale.tirrigh.org/"
"Kingdom of An Tir","Shire of Mountain Edge","Florence, OR","https://mountainedge.antir.org"
"Kingdom of An Tir","Shire of Myrtle Holt","Coos Bay, OR","http://legacy.antir.org/Map/branches.php?reg=Summits"
"Kingdom of An Tir","Shire of Ramsgaard","Kamloops, BC, Canada","https://ramsgaard.tirrigh.org/"
"Kingdom of An Tir","Shire of River's Bend","Renton, WA","https://antir.sca.wiki/index.php/River%27s_Bend"
"Kingdom of An Tir","Shire of Southmarch","Ashland, OR","https://southmarch.antir.sca.org/"
"Kingdom of An Tir","Shire of Thornwold","Powell River, BC, Canada","http://thornwold.tirrigh.org/"
"Kingdom of An Tir","Shire of Tir Bannog","Prince George, BC, Canada","http://tirbannog.tirrigh.org/"
"Kingdom of An Tir","Shire of Tymberhavene","Klamath Falls, OR","http://tymberhavene.antir.sca.org/"
"Kingdom of Ansteorra","Barony of Bjornsborg","most of Texas and some of Oklahoma","https://ansteorra.org/bjornsborg"
